Heures_Etudiees,Presence,Implication_Parentale,Acces_aux_Ressources,Activites_Extrascolaires,Heures_Sommeil,Scores_Precedents,Niveau_Motivation,Acces_Internet,Sessions_Tutorat,Revenu_Famille,Qualite_Enseignant,Type_Ecole,Influence_Entourage,Activite_Physique,Troubles_Apprentissage,Niveau_Education_Parents,Distance_Maison,Genre,Score_Examen
23,84,Bas,Haut,Non,7,73,Bas,Oui,0,Bas,Moyen,Publique,Positif,3,Non,Lycee,Proche,Homme,67
19,64,Bas,Moyen,Non,8,59,Bas,Oui,2,Moyen,Moyen,Publique,Negative,4,Non,Licence,Moderee,Femme,61
24,98,Moyen,Moyen,Oui,7,91,Moyen,Oui,2,Moyen,Moyen,Publique,Neutre,4,Non,Master,Proche,Homme,74
29,89,Bas,Moyen,Oui,8,98,Moyen,Oui,1,Moyen,Moyen,Publique,Negative,4,Non,Lycee,Moderee,Homme,71
19,92,Moyen,Moyen,Oui,6,65,Moyen,Oui,3,Moyen,Haut,Publique,Neutre,4,Non,Licence,Proche,Femme,70
19,88,Moyen,Moyen,Oui,8,89,Moyen,Oui,3,Moyen,Moyen,Publique,Positif,3,Non,Master,Proche,Homme,71
29,84,Moyen,Bas,Oui,7,68,Bas,Oui,1,Bas,Moyen,Privee,Neutre,2,Non,Lycee,Moderee,Homme,67
25,78,Bas,Haut,Oui,6,50,Moyen,Oui,1,Haut,Haut,Publique,Negative,2,Non,Lycee,Loin,Homme,66
17,94,Moyen,Haut,Non,6,80,Haut,Oui,0,Moyen,Bas,Privee,Neutre,1,Non,Licence,Proche,Homme,69
23,98,Moyen,Moyen,Oui,8,71,Moyen,Oui,0,Haut,Haut,Publique,Positif,5,Non,Lycee,Moderee,Homme,72
17,80,Bas,Haut,Non,8,88,Moyen,Non,4,Moyen,Haut,Privee,Neutre,4,Non,Licence,Moderee,Homme,68
17,97,Moyen,Haut,Oui,6,87,Bas,Oui,2,Bas,Haut,Privee,Neutre,2,Non,Lycee,Proche,Homme,71
21,83,Moyen,Moyen,Oui,8,97,Bas,Oui,2,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Proche,Homme,70
9,82,Moyen,Moyen,Oui,8,72,Moyen,Oui,2,Moyen,Moyen,Privee,Positif,3,Non,Master,Proche,Homme,66
10,78,Moyen,Haut,Oui,8,74,Moyen,Oui,1,Bas,Moyen,Privee,Neutre,4,Non,Master,Proche,Homme,65
17,68,Moyen,Moyen,Non,8,70,Moyen,Oui,2,Moyen,Moyen,Privee,Positif,4,Non,Lycee,Proche,Femme,64
14,60,Moyen,Bas,Oui,10,65,Bas,Oui,0,Haut,Moyen,Privee,Positif,3,Non,Licence,Proche,Homme,60
22,70,Bas,Moyen,Oui,6,82,Moyen,Oui,1,Bas,Haut,Publique,Neutre,3,Non,Lycee,Proche,Femme,65
15,80,Moyen,Moyen,Oui,9,91,Bas,Oui,3,Bas,Moyen,Publique,Positif,2,Non,Licence,Moderee,Femme,67
12,75,Moyen,Haut,Oui,7,58,Moyen,Oui,3,Moyen,Moyen,Privee,Positif,4,Non,Licence,Proche,Homme,66
29,78,Moyen,Moyen,Non,5,99,Haut,Oui,0,Haut,Moyen,Publique,Negative,1,Non,Lycee,Moderee,Femme,69
19,99,Moyen,Haut,Non,6,84,Moyen,Oui,1,Moyen,Haut,Publique,Neutre,3,Non,Lycee,Proche,Homme,72
20,74,Moyen,Haut,Non,8,89,Bas,Oui,1,Moyen,Moyen,Publique,Negative,2,Non,Licence,Moderee,Femme,66
11,78,Haut,Moyen,Oui,8,100,Haut,Oui,1,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Moderee,Homme,66
17,65,Bas,Haut,Oui,5,75,Moyen,Oui,2,Bas,Moyen,Publique,Positif,3,Non,Lycee,Proche,Femme,63
21,62,Haut,Bas,Oui,6,54,Haut,Oui,0,Haut,Haut,Publique,Positif,3,Non,Master,Loin,Homme,64
13,91,Bas,Moyen,Non,6,90,Moyen,Oui,1,Haut,Moyen,Publique,Negative,2,Oui,Lycee,Moderee,Femme,65
22,83,Haut,Haut,Oui,6,94,Moyen,Oui,0,Haut,Moyen,Publique,Neutre,2,Non,Licence,Moderee,Homme,71
16,90,Moyen,Moyen,Non,4,58,Moyen,Oui,1,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Moderee,Femme,66
18,66,Haut,Haut,Non,4,51,Bas,Oui,2,Bas,Moyen,Privee,Neutre,2,Non,Licence,Proche,Homme,64
16,83,Bas,Moyen,Non,6,57,Moyen,Oui,0,Haut,Bas,Publique,Positif,4,Oui,Lycee,Proche,Femme,63
31,70,Moyen,Haut,Oui,7,66,Moyen,Oui,1,Haut,Moyen,Publique,Negative,3,Non,Licence,Proche,Homme,69
20,69,Moyen,Moyen,Oui,8,96,Moyen,Oui,2,Moyen,Haut,Publique,Positif,3,Non,Lycee,Proche,Homme,67
25,65,Haut,Moyen,Non,5,90,Moyen,Oui,2,Moyen,Moyen,Publique,Positif,3,Non,Licence,Moderee,Femme,68
13,72,Bas,Moyen,Non,6,93,Bas,Oui,1,Bas,Moyen,Publique,Negative,3,Non,Lycee,Proche,Homme,61
21,65,Moyen,Bas,Oui,7,91,Bas,Oui,2,Moyen,Haut,Publique,Positif,3,Non,Lycee,Loin,Femme,64
8,99,Moyen,Moyen,Non,9,54,Bas,Oui,2,Bas,Moyen,Publique,Neutre,5,Non,Master,Proche,Femme,67
12,72,Bas,Moyen,Oui,8,84,Moyen,Oui,1,Bas,Moyen,Publique,Positif,5,Non,Lycee,Proche,Femme,63
21,65,Bas,Moyen,Oui,6,98,Bas,Oui,1,Moyen,Haut,Publique,Negative,4,Non,Lycee,Proche,Homme,64
24,68,Haut,Moyen,Non,8,56,Bas,Oui,3,Haut,Haut,Publique,Neutre,1,Non,Licence,Proche,Homme,67
