Heures_Etudiees,Presence,Implication_Parentale,Acces_aux_Ressources,Activites_Extrascolaires,Heures_Sommeil,Scores_Precedents,Niveau_Motivation,Acces_Internet,Sessions_Tutorat,Revenu_Famille,Qualite_Enseignant,Type_Ecole,Influence_Entourage,Activite_Physique,Troubles_Apprentissage,Niveau_Education_Parents,Distance_Maison,Genre,Score_Examen
13,88,Bas,Haut,Oui,9,88,Haut,Oui,2,Bas,Haut,Privee,Negative,4,Non,Master,Loin,Homme,68
16,66,Moyen,Haut,Oui,5,57,Haut,Oui,3,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Femme,64
15,79,Haut,Moyen,Non,8,62,Bas,Oui,1,Bas,Bas,Publique,Positif,3,Non,Licence,Proche,Homme,65
19,90,Haut,Moyen,Oui,5,85,Haut,Oui,0,Moyen,Haut,Privee,Positif,5,Non,Master,Proche,Femme,73
21,77,Moyen,Haut,Oui,6,70,Bas,Non,2,Haut,Moyen,Privee,Positif,2,Non,Licence,Proche,Homme,68
22,75,Bas,Bas,Oui,6,62,Moyen,Oui,0,Haut,Haut,Publique,Negative,3,Non,Master,Proche,Femme,65
13,68,Bas,Moyen,Oui,6,79,Moyen,Oui,1,Haut,Moyen,Privee,Negative,3,Non,Licence,Proche,Homme,62
16,74,Bas,Moyen,Oui,9,86,Bas,Oui,1,Bas,Moyen,Privee,Neutre,2,Non,Lycee,Proche,Femme,63
14,69,Moyen,Moyen,Oui,5,92,Haut,Oui,3,Bas,Bas,Publique,Negative,2,Non,Master,Moderee,Femme,64
11,95,Moyen,Moyen,Non,6,81,Haut,Oui,2,Bas,Bas,Publique,Positif,3,Non,Lycee,Proche,Homme,67
13,84,Moyen,Moyen,Oui,9,51,Haut,Oui,0,Bas,Moyen,Publique,Negative,4,Non,Lycee,Proche,Femme,64
14,73,Moyen,Haut,Oui,9,82,Moyen,Oui,1,Moyen,Moyen,Publique,Negative,3,Non,Lycee,Proche,Femme,64
22,93,Moyen,Moyen,Oui,6,52,Moyen,Oui,1,Bas,Moyen,Publique,Negative,3,Non,Licence,Proche,Femme,69
18,67,Moyen,Haut,Oui,7,78,Bas,Oui,2,Moyen,Moyen,Publique,Negative,3,Oui,Lycee,Proche,Femme,63
12,70,Moyen,Moyen,Oui,7,93,Moyen,Oui,1,Bas,Haut,Publique,Neutre,4,Non,Lycee,Loin,Femme,62
19,77,Bas,Moyen,Non,5,90,Bas,Oui,1,Bas,Haut,Privee,Neutre,3,Non,Licence,Proche,Femme,65
23,95,Moyen,Moyen,Oui,8,94,Moyen,Oui,1,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Proche,Homme,73
21,78,Moyen,Haut,Non,6,60,Haut,Oui,1,Bas,Haut,Privee,Neutre,2,Non,Licence,Proche,Femme,67
15,81,Bas,Bas,Oui,7,75,Bas,Oui,1,Moyen,Haut,Publique,Negative,1,Non,Master,Moderee,Homme,63
18,76,Haut,Haut,Non,6,83,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,4,Non,Lycee,Proche,Homme,68
28,67,Moyen,Moyen,Non,8,60,Haut,Oui,0,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Femme,65
14,81,Moyen,Moyen,Oui,7,64,Moyen,Oui,2,Moyen,Moyen,Publique,Positif,4,Oui,Licence,Proche,Homme,66
16,70,Moyen,Haut,Oui,8,50,Haut,Oui,3,Haut,Moyen,Privee,Neutre,3,Non,Master,Loin,Homme,65
22,61,Moyen,Bas,Non,7,98,Haut,Oui,3,Haut,Bas,Privee,Neutre,2,Non,Licence,Proche,Femme,65
30,96,Moyen,Bas,Oui,4,74,Haut,Non,0,Bas,Bas,Publique,Negative,3,Non,Lycee,Moderee,Homme,69
